feature,importance
sensor_11,0.5493998838963015
time_in_cycles,0.1864677604915611
sensor_9,0.05625858318993904
sensor_4,0.04701114591383939
sensor_12,0.03482824979231036
sensor_7,0.017141871457355448
sensor_14,0.015496692399117681
sensor_15,0.014751874742524514
sensor_2,0.01199171556137101
sensor_21,0.011910573978919547
sensor_3,0.010837789442399649
sensor_20,0.00944972472515817
operational_setting_1,0.00866960042237943
sensor_13,0.008532478825454203
sensor_8,0.008272051152910739
operational_setting_2,0.0051955654302034025
sensor_17,0.0037061999119817226
sensor_6,7.823866627310761e-05
sensor_5,0.0
operational_setting_3,0.0
sensor_1,0.0
sensor_10,0.0
sensor_16,0.0
sensor_19,0.0
sensor_18,0.0
